"Hunting for your Dream","Hunter x Hunter (2)","https://www.youtube.com/watch?v=tK-d2LJlaaQ"
"Koko Kara, Koko Kara","A Place Further Than The Universe","https://www.youtube.com/watch?v=3eqL53o1rT4"
"Fly Me to the Moon","Neon Genesis Evangelion","https://www.youtube.com/watch?v=dCDkERwRRyY"
"Shiori","Owarimonogatari (2)","https://www.youtube.com/watch?v=gLZB0mkrlwc"
"Hyori Ittai","Hunter x Hunter (5)","https://www.youtube.com/watch?v=MCYm453CE6Y"
"Gate of Steiner","Steins;Gate 0 (Finale)","https://www.youtube.com/watch?v=S5fnglcM5VI"
"Komm- Susser Tod","End of Evangelion","https://www.youtube.com/watch?v=rQiHzcdUPAU"
"A Far Off Distance","Rainbow","https://www.youtube.com/watch?v=6CuywKmEgwM"
"Sakura Nagashi","Evangelion 3.33","https://www.youtube.com/watch?v=utXF0PGPD3Q"
"Sayonara no Yukue","Owarimonogatari (1)","https://www.youtube.com/watch?v=ExWNledkLj0"
"Monster Without a Name","Psycho-Pass (1)","https://www.youtube.com/watch?v=WzcLt5h4JMc"
"Lyra","Steins;Gate 0 (Episode 8)","https://www.youtube.com/watch?v=LgVdqzr9ve0"
"Zzz","Nichijou (1)","https://www.youtube.com/watch?v=aVGzYXbxslU"
"Magia","Puella Magi Madoka Magica (2)","https://www.youtube.com/watch?v=sj3fy3J5EHI"
"Fluorite Eye's Song","Vivy - Fluorite Eye's Song (Finale)","https://www.youtube.com/watch?v=2qcvp5nE4Lc"
"Beautiful World","Evangelion 1.11, Evangelion 2.22","https://www.youtube.com/watch?v=epESCAQyAPU"
"Yake Ochinai Tsubasa","Charlotte","https://www.youtube.com/watch?v=sLo5ulePYc0"
"Hanaato-shirushi","Hanamonogatari","https://www.youtube.com/watch?v=bVlcj_urrQk"
"Kimi Ga Iru","Initial D Second Stage","https://www.youtube.com/watch?v=3Fi1MDOl7Cg"
"Ai wo Oshiete Kureta Kimi e","Inuyashiki","https://www.youtube.com/watch?v=0T49D73myWA"
"The Great Pretender","Great Pretender","https://www.youtube.com/watch?v=Vk86fxEklq8"
"Ray of Light","Fullmetal Alchemist: Brotherhood (5)","https://www.youtube.com/watch?v=7hpfhV9SLx0"
"Uso","Fullmetal Alchemist: Brotherhood (1)","https://www.youtube.com/watch?v=9mUcDMZviJY"
"Kieru Daydream","Nekomonogatari Black","https://www.youtube.com/watch?v=vfltbkdSBUM"
"World-Line","Steins;Gate 0 (2)","https://www.youtube.com/watch?v=25tgqtVm_m4"
"The Real Folk Blues","Cowboy Bebop","https://www.youtube.com/watch?v=Ru_H5PiyfSA"
"Rage your Dream","Initial D First Stage (1)","https://www.youtube.com/watch?v=KoFSQeOAYz4"
"Kimi no Shiranai Monogatari","Bakemonogatari","https://www.youtube.com/watch?v=HBT7o-o8zjA"
"Fuyubiyori","Laid-Back Camp (1)","https://www.youtube.com/watch?v=CrTmHil72ls"
"Gamble Rumble","Initial D Final Stage","https://www.youtube.com/watch?v=KhTxlm4REQc"
"Blue","Cowboy Bebop (Finale)","https://www.youtube.com/watch?v=0RuylPp-uUE"
"Sono Koe wo Oboeteru","Otorimonogatari / Onimonogatari","https://www.youtube.com/watch?v=1BH9Fd4J19g"
"Nagareboshi Kirari","Hunter x Hunter (4)","https://www.youtube.com/watch?v=kc6MHszfb2I"
"Ã‰toile et toi (+ White Edition)","Kizumonogatari","https://www.youtube.com/watch?v=G2hWYfflWB0"
"Avid","86 Eighty-Six (1)","https://www.youtube.com/watch?v=k4HlfCR2Wvk"
"Shunkan Sentimental","Fullmetal Alchemist: Brotherhood (4)","https://www.youtube.com/watch?v=yxkyElx0pXI"
"Gotta Knock a Little Harder","Cowboy Bebop: The Movie","https://www.youtube.com/watch?v=Dlqq1Wdnclk"
"Trust Me","Durarara!! (1)","https://www.youtube.com/watch?v=86sLUOnyCPs"
"All Alone with You","Psycho-Pass (2)","https://www.youtube.com/watch?v=Q5eYNOnyBcU"
"Brave Song","Angel Beats!","https://www.youtube.com/watch?v=_d8lv6YLuGc"
"Gomen ne, Iiko ja Irarenai","Kill la Kill (1)","https://www.youtube.com/watch?v=2HACXCqZGJ8"
"Kimi no Gin no Niwa","Puella Magi Madoka Magica: Rebellion","https://www.youtube.com/watch?v=xgiNwzfNGcc"
"Just Awake","Hunter x Hunter (1)","https://www.youtube.com/watch?v=ELuVDnlB8PE"
"The Last Game","Steins;Gate 0 (1)","https://www.youtube.com/watch?v=C2hQ8z3oRs8"
"Haru no Tonari","Laid-Back Camp (2)","https://www.youtube.com/watch?v=P21JsPIM12A"
"Itsumo Kono Basho de","Steins;Gate: The Movie","https://www.youtube.com/watch?v=dmmnx4VQmPU"
"Roundabout","JoJo's Bizarre Adventure","https://www.youtube.com/watch?v=RLsOEC1fZWU"
"The Twelve Laws that Govern Time","Steins;Gate","https://www.youtube.com/watch?v=P8OGtpQGHvI"
"Mosaic Kakera","Code Geass (2)","https://www.youtube.com/watch?v=SdCXy3sw0uE"
"Minna no Peace","Gurren Lagann (2)","https://www.youtube.com/watch?v=lN7-Z0PQO28"